filters
ID,Name,"Public name",Slug,Slug,"Parent id",Main,Enabled,"Sort order"
1,Dimensions,Dimensions,dimensions,select,,,0,1
2,Material,Material,material,select,,,1,2
3,Display,Display,display,select,,,1,3
4,Platform,Platform,platform,select,,,1,4
5,CPU,CPU,cpu,select,,,1,5
6,Battery,Battery,battery,select,,,1,6
7,"Dual Sim","Dual Sim",sim,select,,,1,7
8,Camera,Camera,camera,select,,,1,8
9,Color,Color,color,select,,,1,9
10,Connectivity,Connectivity,connectivity,select,,,1,10
11,"Sound Channel","Sound Chanel",sound-channel,select,,,1,11
12,Charger,Charger,charger,select,,,1,12
13,"Charge Time","Charge Time",charge-time,select,,,1,13
14,"Time Music","Time Music",time-music,select,,,1,14
15,"Time Standby","Time Standby",time-standby,select,,,1,15
16,"INPUT Current","INPUT Current",input-current,select,,,1,16
17,Current,Current,current,select,,,1,17
18,Length,Length,length,select,,,1,18
20,Speed,Speed,speed,select,,,1,20
21,Power,Power,power,select,,,1,21
22,Voltaje,Voltaje,voltaje,select,,,1,22
23,Type,Type,type,select,,,1,23
filterattributes
ID,Name,"Public name",Slug,"Filter id",Enabled,"Sort order"
1,"157 x 74 x 8.5 (mm)","157 x 74 x 8.5 (mm)",157-x-74-x-85-mm,1,0,1
8,"Dual Nano SIM","Dual Nano SIM",dual-sim,7,1,1
3,"Golden Aluminium & Glass","Golden Aluminium & Glass",golden-aluminium-glass,2,1,3
4,"5.71''HD+ touchscreen","5.71''HD+ touchscreen",55-inches-capacitive-touchscreen-16m-colors,3,1,4
5,"CryptoDATA OS","CryptoDATA OS",cryptodata-os,4,1,5
6,"Octa Core","Octa Core",octa-core,5,1,6
7,"3400 mAh","3400 mAh",3400-mah,6,1,7
9,"5MP/13MP (Front/Back)","5MP/13MP (Front/Back)",5mp12mp,8,1,9
10,"Composite Materials","Composite Materials",composite-materials,2,1,10
11,IPS,IPS,ips,3,1,11
12,"Sound Channel","Sound Channel Stereo",sound-channel,8,1,12
13,bluetooth,"Bluetooth V5.0",bluetooth,10,1,13
14,Stereo,Stereo,stereo,11,1,14
15,USB-C,USB-C,usb-c,12,1,15
16,1H,1H,1h,13,1,16
17,8H,8H,8h,14,1,17
18,300H,300H,300h,15,1,18
19,"DC 5V/2A 9V/2A Max","DC 5V/2A 9V/2A Max",dc-5v2a-9v2a-max,16,1,19
20,wireless,wireless,wireless,10,1,20
21,Type-C,Type-C,type-c,10,1,21
22,1m,1m,1m,18,1,22
23,"Max 500Mbs","Max 500Mbs",max-500mbs,20,1,23
24,2A,2A,2a,17,1,24
25,ABS,ABS,abs,2,1,25
26,Black,Black,black,9,1,26
27,"USB A","USB A",usb,10,1,27
28,"5 units per Package","5 units per Package",5-units-package,12,1,28
29,"10 w / 2A","10 w / 2A",10-w-2a,21,1,29
30,5v,5v,5v,22,1,30
31,Universal,Universal,universal,23,1,31
categories
ID,Name,"Parent category",Description,Slug,Default,Enabled,Image,"Дата создания","Последнее обновление"
7,ALL,,,all,1,1,,"2020-04-09 14:26:22","2021-02-26 14:48:39"
1,IMPulse,,,impulse,0,1,,"2019-04-07 17:02:12","2021-02-26 14:49:03"
10,BASM,,,basm,0,1,,"2021-01-19 17:29:50","2021-03-10 14:29:29"
9,Tinker,,,tinker,0,0,,"2020-10-05 11:35:26","2021-03-23 18:24:32"
8,Accessories,,,accessories,0,1,,"2020-04-14 12:47:02","2021-02-26 14:48:56"
productgroups
ID,Name,Slug,Enabled,Position,Created
1,phones,phones,1,1,"2020-04-11 13:30:49"
2,Headset,headset,1,2,"2020-04-13 15:15:06"
3,"Wireless Charger",wireless-charger,1,3,"2020-04-16 16:09:15"
4,"Private Key",private-key,1,4,"2020-04-16 16:11:34"
5,"Universal Charger",universal-charger,1,5,"2020-04-16 16:12:45"
6,"Charger Type-C",charger-type-c,1,6,"2020-04-16 16:13:00"
7,Tinker,tinker,1,7,"2020-10-05 11:47:01"
products
ID,Name,Article,Slug,Price,"Shipping price","Category id",Filters,Status,Group,Description,Enabled,New,Popular,User,Created,Updated
1,basm,basm,basm,1025.00000,0.00000,10,"8,3,4,5,6,7,9",online,1,"<p>Stealthiness (secretiveness, sneakiness) - Designed for the bold and the brave one, next level disguise.</p>",1,1,0,,"2019-04-07 17:03:27","2021-03-10 15:02:05"
2,IMPulse,Transparent,gold,1250.00000,0.00000,1,"8,3,4,5,6,7,9",online,,"<p>Luxury and Style - Unique and exquisite design for those with a taste for elegance.</p>",0,1,1,,"2019-09-22 18:55:50","2021-02-25 16:23:34"
3,Carbon,Black,carbon,1246.00000,20.00000,1,"8,3,4,5,6,7,9",online,,"<p>Shadow design- Groundbreaking Fiber Look and Feel, for strong personalities.</p>",0,1,1,,"2019-09-22 18:56:41","2020-12-21 23:58:07"
4,IMPulse,IMPulse,impulse-k1,999.00000,0.00000,1,"8,3,4,5,6,7,9,13",online,,"<p>CEO Edition - the quality of being expensive and luxurious, for those who work smarter, not harder.</p>",1,0,0,,"2019-10-21 12:28:38","2021-03-22 19:45:54"
6,Army,Army,earpods-army,399.00000,,8,"10,11,12,13,14,15,16,17,18",online,2,"<p>Versatile design for those who keep it stealthy and never miss a beatasdasda</p>",0,0,0,,"2020-04-06 14:53:15","2020-12-19 17:55:57"
7,Gold,Gold,earpods-gold,399.00000,,8,"10,11,13,14,15,16,17,18",online,2,"<p>Comfort and high-quality sound experience encased into luxurious aesthetics for those with a discerning sense of style.</p>",0,0,0,,"2020-04-06 14:54:40","2020-12-21 21:32:16"
8,Carbon,Carbon,earpods-black,399.00000,,8,"10,11,13,14,15,16,17,18",online,2,"<p>Full and powerful sound blended with a discreet shadow-design for strong personalities</p>",0,0,0,,"2020-04-06 14:56:15","2020-12-18 00:31:57"
